2023-07-03 02:59:50.681 [info] 




2023-07-03 02:59:50.721 [info] Extension host agent started.
2023-07-03 02:59:51.214 [info] [127.0.0.1][b1ff6990][ManagementConnection] New connection established.
2023-07-03 02:59:51.523 [info] [127.0.0.1][38f92317][ExtensionHostConnection] New connection established.
2023-07-03 02:59:51.714 [info] [127.0.0.1][38f92317][ExtensionHostConnection] <34517> Launched Extension Host Process.
2023-07-03 02:59:58.323 [info] [127.0.0.1][b1ff6990][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
2023-07-03 02:59:58.344 [info] [127.0.0.1][38f92317][ExtensionHostConnection] <34517> Extension Host Process exited with code: 0, signal: null.
2023-07-03 02:59:58.344 [info] Cancelling previous shutdown timeout
2023-07-03 02:59:58.345 [info] Last EH closed, waiting before shutting down
2023-07-03 03:00:01.780 [info] Got delay-shutdown request while in shutdown timeout, delaying
2023-07-03 03:00:01.780 [info] Cancelling previous shutdown timeout
2023-07-03 03:00:02.568 [info] [127.0.0.1][ac6a7afc][ManagementConnection] New connection established.
2023-07-03 03:00:02.864 [info] [127.0.0.1][8c369777][ExtensionHostConnection] New connection established.
2023-07-03 03:00:02.869 [info] [127.0.0.1][8c369777][ExtensionHostConnection] <34666> Launched Extension Host Process.
2023-07-03 03:05:01.783 [info] New EH opened, aborting shutdown
2023-07-03 03:24:47.974 [warning] No ptyHost heartbeat after 6 seconds
2023-07-03 03:50:37.807 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 03:50:40.802 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 04:12:45.965 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 04:13:16.833 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 04:17:41.655 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 04:17:45.025 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 04:17:45.726 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 04:25:10.942 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 04:25:23.258 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 04:54:57.844 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 04:54:58.099 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 04:59:33.985 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:02:03.620 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:02:08.196 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:02:57.494 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:03:00.426 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:03:00.896 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:06:39.724 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:11:23.174 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:11:32.467 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:13:10.574 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:13:14.012 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:13:14.554 [info] [127.0.0.1][8c369777][ExtensionHostConnection] The client has reconnected.
2023-07-03 05:16:35.502 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:21:14.105 [info] [127.0.0.1][ac6a7afc][ManagementConnection] The client has reconnected.
2023-07-03 05:21:35.775 [info] [127.0.0.1][8c369777][ExtensionHostConnection] <34666> Extension Host Process exited with code: 0, signal: null.
2023-07-03 05:21:35.776 [info] Last EH closed, waiting before shutting down
2023-07-03 05:26:35.777 [info] Last EH closed, shutting down
